episode,my_deck,opp_archetype,result_me,winner
81571819,H.Ito,OgawaraMakoto(Noah),0,Hops-Clefairy,"other:[96, 63, 1094]",OgawaraMakoto(Noah),-1
81572434,hannahepta,H.Ito,1,Hops-Clefairy,Crustle,H.Ito,1
81572833,H.Ito,Changdao Chen,0,Hops-Clefairy,MegaLucario,H.Ito,1
81572870,H.Ito,nishikawa,0,Hops-Clefairy,Dragapult,H.Ito,1
81573483,Legend Brothers,H.Ito,1,Hops-Clefairy,Alakazam,H.Ito,1
81574082,H.Ito,ゆんぼぼ,0,Hops-Clefairy,MegaLucario,H.Ito,1
81576233,H.Ito,Unicorn,0,Hops-Clefairy,MegaLucario,H.Ito,1
81579421,Xiaolei Lian,H.Ito,1,Hops-Clefairy,MegaLucario,Xiaolei Lian,-1
81585159,Tokiya Osuka,H.Ito,1,Hops-Clefairy,MegaLucario,H.Ito,1
81585613,ЧАРИЗАРД Я ВЫБИРАЮ ТЕБЯ,H.Ito,1,Hops-Clefairy,MegaLucario,H.Ito,1
81592192,H.Ito,Uta U,0,Hops-Clefairy,Hops,H.Ito,1
81597018,H.Ito,Gotta catch 'em all,0,Hops-Clefairy,Dragapult,Gotta catch 'em all,-1
81602440,トゲアリトゲナシトゲトゲ,H.Ito,1,Hops-Clefairy,Alakazam,H.Ito,1
81609050,bambi_create,H.Ito,1,Hops-Clefairy,Alakazam,H.Ito,1
81614029,taiki,H.Ito,1,Hops-Clefairy,"other:[1227, 1233, 265]",H.Ito,1
81618799,Charismatic Pizza Party🍕,H.Ito,1,Hops-Clefairy,MegaLucario,H.Ito,1
81623310,H.Ito,長谷川太一,0,Hops-Clefairy,"other:[878, 879, 1115]",H.Ito,1
81627419,H.Ito,Toshiki Shinju,0,Hops-Clefairy,MegaLucario,Toshiki Shinju,-1
81627981,ЧАРИЗАРД Я ВЫБИРАЮ ТЕБЯ,H.Ito,1,Hops-Clefairy,MegaLucario,ЧАРИЗАРД Я ВЫБИРАЮ ТЕБЯ,-1
81640780,The Debauchery Tea Party,H.Ito,1,Hops-Clefairy,"other:[646, 648, 1086]",The Debauchery Tea Party,-1
81665519,Raihan Ramadistra,H.Ito,1,Hops-Clefairy,MegaStarmie,Raihan Ramadistra,-1
81672516,TG_Aetheryx,Yushin Ito,-1,,,TG_Aetheryx,
81678845,H.Ito,MushaKGL,0,Hops-Clefairy,MegaLucario,H.Ito,1
81681836,Ricky Yuen,H.Ito,1,Hops-Clefairy,Crustle,Ricky Yuen,-1
81681858,H.Ito,Yuzuki,0,Hops-Clefairy,"other:[1227, 1233, 265]",H.Ito,1
81683632,H.Ito,ini,0,Hops-Clefairy,MegaLucario,ini,-1
81687269,H.Ito,Aslan168,0,Hops-Clefairy,Crustle,H.Ito,1
81688314,H.Ito,harmo-miu,0,Hops-Clefairy,MegaLucario,H.Ito,1
81689281,srikalyan,H.Ito,1,Hops-Clefairy,MegaStarmie,srikalyan,-1
81690865,yosuke kurosu,H.Ito,1,Hops-Clefairy,MegaLucario,H.Ito,1
81694033,jp_nerdery,H.Ito,1,Hops-Clefairy,Hops,H.Ito,1
81694390,DaJimmy,H.Ito,1,Hops-Clefairy,"other:[1227, 1233, 265]",H.Ito,1
